year,location, 育齡婦女一般生育率, 育齡婦女總生育率,15至19歲育齡婦女生育率,20至24歲育齡婦女生育率,25至29歲育齡婦女生育率,30至34歲育齡婦女生育率,35至39歲育齡婦女生育率,40至44歲育齡婦女生育率,45至49歲育齡婦女生育率, 有偶婦女一般生育率
103年, 總計,42,1350,2,14,60,115,67,11,1,93
103年, 松山區,38,1280,-,11,55,113,69,8,0,82
103年, 信義區,43,1335,3,14,54,116,66,13,1,99
103年, 大安區,39,1295,2,7,53,111,74,11,1,84
103年, 中山區,44,1370,1,15,61,112,72,12,1,104
103年, 中正區,41,1365,0,13,61,124,64,10,1,85
103年, 大同區,47,1420,2,17,67,116,71,11,0,106
103年, 萬華區,47,1445,4,23,74,113,64,11,0,114
103年, 文山區,40,1320,1,11,60,113,67,11,1,84
103年, 南港區,46,1400,2,17,69,114,66,12,0,100
103年, 內湖區,41,1315,2,11,58,119,63,10,0,88
103年, 士林區,43,1335,1,15,59,114,67,10,1,97
103年, 北投區,42,1325,2,14,64,112,62,10,1,94
104年, 總計,42,1340,2,13,58,112,69,13,1,93
104年, 松山區,38,1240,0,8,46,113,68,12,1,80
104年, 信義區,43,1325,1,13,57,109,71,13,1,98
104年, 大安區,38,1275,1,8,50,107,74,14,1,83
104年, 中山區,41,1290,2,12,57,110,63,13,1,97
104年, 中正區,41,1325,1,11,53,112,75,12,1,84
104年, 大同區,44,1335,1,14,66,108,65,13,0,98
104年, 萬華區,46,1425,4,24,67,113,65,11,1,110
104年, 文山區,42,1380,2,11,60,121,68,14,0,89
104年, 南港區,46,1415,2,19,66,116,67,13,0,100
104年, 內湖區,42,1360,2,13,54,117,73,13,-,92
104年, 士林區,42,1305,1,14,56,110,69,10,1,95
104年, 北投區,43,1360,2,15,64,112,67,11,1,96
105年, 總計,41,1310,2,12,56,110,68,13,1,90
105年, 松山區,38,1270,1,8,48,114,69,13,1,81
105年, 信義區,42,1300,3,10,55,105,71,15,1,95
105年, 大安區,38,1270,1,7,46,111,74,14,1,82
105年, 中山區,41,1300,1,15,57,103,67,16,1,96
105年, 中正區,40,1330,0,8,59,116,71,11,1,83
105年, 大同區,44,1365,2,17,61,113,65,14,1,98
105年, 萬華區,44,1360,2,18,63,110,66,12,1,105
105年, 文山區,39,1305,2,14,54,112,66,13,0,84
105年, 南港區,45,1400,3,13,68,111,69,15,1,97
105年, 內湖區,42,1340,2,13,56,109,74,13,1,90
105年, 士林區,42,1315,2,13,55,113,66,13,1,95
105年, 北投區,40,1280,3,12,60,108,62,11,0,88
106年, 總計,37,1215,2,11,50,99,66,14,1,83
106年, 松山區,33,1110,1,6,41,95,66,13,0,71
106年, 信義區,38,1200,1,12,50,97,64,15,1,87
106年, 大安區,34,1140,1,7,41,96,67,14,2,72
106年, 中山區,37,1170,2,9,47,100,61,14,1,86
106年, 中正區,37,1245,1,9,53,102,69,13,2,76
106年, 大同區,42,1315,2,17,58,103,70,12,1,93
106年, 萬華區,41,1270,5,19,57,92,66,15,0,96
106年, 文山區,36,1215,1,10,50,99,70,13,0,78
106年, 南港區,42,1315,1,15,60,107,64,15,1,90
106年, 內湖區,38,1220,1,11,51,100,68,12,1,82
106年, 士林區,38,1195,1,13,51,96,65,13,0,86
106年, 北投區,39,1250,1,12,51,103,67,15,1,86
107年, 總計,35,1125,1,11,45,93,61,13,1,77
107年, 松山區,31,1065,1,6,39,95,59,12,1,68
107年, 信義區,35,1095,1,10,42,88,62,15,1,80
107年, 大安區,32,1085,1,4,37,94,65,15,1,69
107年, 中山區,36,1135,1,12,43,93,65,12,1,83
107年, 中正區,35,1160,1,8,45,103,61,13,1,71
107年, 大同區,37,1160,2,12,55,90,59,13,1,82
107年, 萬華區,38,1205,3,21,52,86,65,14,0,90
107年, 文山區,33,1130,1,11,45,96,58,14,1,73
107年, 南港區,38,1230,4,15,50,99,61,15,2,83
107年, 內湖區,35,1120,1,10,45,89,63,15,1,75
107年, 士林區,35,1135,1,12,46,95,59,13,1,81
107年, 北投區,34,1120,2,14,47,97,54,10,0,75