year,location, 結婚對數/總計(對), 結婚對數/大陸港澳配偶(對), 結婚對數/其他外籍配偶(對), 結婚對數中配偶為大陸港澳及其他外籍人士之對數比率(%), 粗結婚率(千分比)
103年, 總計,19139,1535,1225,14.42,7.10
103年, 松山區,1326,106,95,15.16,6.30
103年, 信義區,1650,149,100,15.09,7.20
103年, 大安區,2132,155,184,15.90,6.80
103年, 中山區,1739,170,135,17.54,7.57
103年, 中正區,1049,86,76,15.44,6.43
103年, 大同區,952,82,57,14.60,7.30
103年, 萬華區,1451,150,84,16.13,7.48
103年, 文山區,1848,160,98,13.96,6.78
103年, 南港區,949,57,67,13.07,7.88
103年, 內湖區,2071,149,113,12.65,7.28
103年, 士林區,2140,140,129,12.57,7.38
103年, 北投區,1832,131,87,11.90,7.14
104年, 總計,18771,1502,1299,14.92,6.94
104年, 松山區,1294,118,96,16.54,6.16
104年, 信義區,1673,150,115,15.84,7.29
104年, 大安區,1942,158,161,16.43,6.20
104年, 中山區,1695,156,150,18.05,7.34
104年, 中正區,1104,72,94,15.04,6.78
104年, 大同區,907,71,52,13.56,6.93
104年, 萬華區,1375,151,83,17.02,7.07
104年, 文山區,1832,161,116,15.12,6.67
104年, 南港區,931,69,41,11.82,7.65
104年, 內湖區,2189,135,126,11.92,7.64
104年, 士林區,2110,144,147,13.79,7.26
104年, 北投區,1719,117,118,13.67,6.67
105年, 總計,17796,1444,1348,15.69,6.59
105年, 松山區,1251,106,110,17.27,5.99
105年, 信義區,1617,124,120,15.09,7.08
105年, 大安區,1811,154,149,16.73,5.80
105年, 中山區,1656,136,124,15.70,7.16
105年, 中正區,948,70,76,15.40,5.87
105年, 大同區,886,84,70,17.38,6.79
105年, 萬華區,1329,142,88,17.31,6.85
105年, 文山區,1696,147,132,16.45,6.16
105年, 南港區,894,63,58,13.53,7.31
105年, 內湖區,2020,144,154,14.75,7.02
105年, 士林區,2010,150,150,14.93,6.92
105年, 北投區,1678,124,117,14.36,6.51
106年, 總計,16157,1325,1450,17.18,6.01
106年, 松山區,1071,98,95,18.02,5.16
106年, 信義區,1512,122,121,16.07,6.67
106年, 大安區,1674,153,176,19.65,5.39
106年, 中山區,1546,136,154,18.76,6.69
106年, 中正區,791,70,79,18.84,4.94
106年, 大同區,808,78,72,18.56,6.23
106年, 萬華區,1196,135,99,19.57,6.21
106年, 文山區,1545,122,134,16.57,5.62
106年, 南港區,809,57,72,15.95,6.61
106年, 內湖區,1852,125,151,14.90,6.44
106年, 士林區,1798,120,159,15.52,6.22
106年, 北投區,1555,109,138,15.88,6.05
107年, 總計,15193,1193,1381,16.94,5.68
107年, 松山區,1036,77,101,17.18,5.02
107年, 信義區,1328,112,115,17.09,5.91
107年, 大安區,1616,122,163,17.64,5.22
107年, 中山區,1399,125,150,19.66,6.08
107年, 中正區,745,67,65,17.72,4.68
107年, 大同區,739,65,72,18.54,5.75
107年, 萬華區,1143,123,102,19.69,5.99
107年, 文山區,1558,124,146,17.33,5.68
107年, 南港區,716,48,49,13.55,5.87
107年, 內湖區,1758,108,139,14.05,6.11
107年, 士林區,1721,118,141,15.05,5.99
107年, 北投區,1434,104,138,16.88,5.60